Positive_1,Positive_2,Negative_1,Negative_2
Happy,Joyful,Sad,Miserable
Big,Large,Small,Tiny
Fast,Quick,Slow,Sluggish
Hot,Warm,Cold,Chilly
Smart,Intelligent,Dumb,Stupid
Strong,Powerful,Weak,Feeble
Easy,Simple,Hard,Difficult
Rich,Wealthy,Poor,Impoverished
Dark,Gloomy,Bright,Radiant
Brave,Courageous,Cowardly,Fearful
Love,Adore,Hate,Loathe
Nice,Kind,Mean,Rude
Full,Packed,Empty,Vacant
Good,Excellent,Bad,Terrible
Soft,Gentle,Rough,Harsh
Open,Unlocked,Closed,Shut
Thin,Slim,Fat,Obese
Young,Youthful,Old,Aged
Near,Close,Distant,Far
Funny,Amusing,Serious,Grave
Friendly,Amiable,Hostile,Unfriendly
Loud,Noisy,Quiet,Silent
Sharp,Pointed,Dull,Blunt
Heavy,Weighty,Light,Airy
Clean,Spotless,Dirty,Filthy
Tall,Towering,Short,Stumpy
Alive,Living,Dead,Lifeless
Deep,Profound,Shallow,Superficial
Tidy,Neat,Messy,Cluttered
Sweet,Sugary,Bitter,Acrid
Cheap,Inexpensive,Expensive,Costly
Early,Prompt,Late,Delayed
True,Honest,False,Untrue
Right,Correct,Wrong,Incorrect
Generous,Charitable,Greedy,Selfish
Calm,Tranquil,Agitated,Restless
Lazy,Idle,Energetic,Active
Shy,Bashful,Bold,Confident
Clear,Transparent,Cloudy,Opaque
Clever,Witty,Foolish,Unintelligent
Lucky,Fortunate,Unlucky,Doomed
Flexible,Pliable,Rigid,Stiff
Graceful,Elegant,Clumsy,Awkward
Exciting,Thrilling,Boring,Uninspiring
Loyal,Devoted,Disloyal,Betraying
